owner_id,eer_inertial,auc_inertial,eer_touch,auc_touch,eer_fusion,auc_fusion,far_fusion,frr_fusion,fusion_w,has_touch
user1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,True
user10,0.0,1.0,0.05555555555555555,0.9814814814814815,0.0,1.0,0.0,0.0,0.16,True
user12,0.05555555555555555,0.9814814814814814,0.018518518518518517,0.9938271604938272,0.0,1.0,0.0,0.0,0.24,True
user13,0.0,1.0,0.018518518518518517,0.9938271604938272,0.0,1.0,0.0,0.0,0.92,True
user14,0.037037037037037035,0.9876543209876543,0.0,1.0,0.0,1.0,0.0,0.0,0.14,True
user15,0.0,1.0,0.25925925925925924,0.8765432098765432,0.0,1.0,0.0,0.0,1.0,True
user16,0.0,1.0,0.09259259259259259,0.9691358024691358,0.0,1.0,0.0,0.0,0.16,True
user18,0.05555555555555555,0.9814814814814815,0.05555555555555555,0.9814814814814815,0.0,1.0,0.0,0.0,0.1,True
user19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22,True
user2,0.0,1.0,0.6666666666666667,0.4012345679012345,0.0,1.0,0.0,0.0,1.0,True
user20,0.0,1.0,0.12962962962962962,0.9320987654320987,0.0,1.0,0.0,0.0,0.36,True
user21,0.018518518518518517,0.9938271604938271,0.018518518518518517,0.9814814814814815,0.018518518518518517,0.9938271604938272,0.018518518518484225,0.3333333333222222,0.12,True
user3,0.05555555555555555,0.9814814814814815,0.12962962962962962,0.9197530864197532,0.018518518518518517,0.9938271604938272,0.018518518518484225,0.3333333333222222,0.5,True
user4,0.0,1.0,0.12962962962962962,0.95679012345679,0.0,1.0,0.0,0.0,0.44,True
user5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24,True
user6,0.0,1.0,0.037037037037037035,0.9876543209876543,0.0,1.0,0.0,0.0,0.5,True
user7,0.018518518518518517,0.9938271604938272,0.0,1.0,0.0,1.0,0.0,0.0,0.32,True
user8,0.0,1.0,0.12962962962962962,0.9320987654320988,0.0,1.0,0.0,0.0,0.5,True
user9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,True
