owner_id,auc_val,auc_test,eer_test,far_at_eer,frr_at_eer,thr,n_train_pos,n_train_neg,n_val,n_test,run,seed
user1,1.0,1.0,0.0,0.0,0.0,0.5299999713897705,4,92,24,24,0,42
user10,0.9565217391304347,1.0,0.0,0.0,0.0,0.44999998807907104,4,92,24,24,0,42
user12,1.0,1.0,0.0,0.0,0.0,0.3100000023841858,4,92,24,24,0,42
user13,1.0,1.0,0.0,0.0,0.0,0.28999999165534973,4,92,24,24,0,42
user14,1.0,1.0,0.0,0.0,0.0,0.36500000953674316,4,92,24,24,0,42
user15,0.9565217391304348,0.782608695652174,0.21739130434782608,0.21739130434688092,0.9999999999,0.08608695799889772,4,92,24,24,0,42
user16,0.9565217391304348,1.0,0.0,0.0,0.0,0.38999998569488525,4,92,24,24,0,42
user17,1.0,1.0,0.0,0.0,0.0,0.8550000190734863,4,92,24,24,0,42
user18,1.0,1.0,0.0,0.0,0.0,0.4699999988079071,4,92,24,24,0,42
user19,0.9565217391304348,1.0,0.0,0.0,0.0,0.5699999928474426,4,92,24,24,0,42
user2,0.5869565217391304,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.1171739153240038,4,92,24,24,0,42
user20,0.9565217391304348,0.6739130434782609,0.3571428571428571,0.21739130434688092,0.9999999999,0.01857142848894,4,92,24,24,0,42
user21,1.0,1.0,0.0,0.0,0.0,0.39500001072883606,4,92,24,24,0,42
user22,1.0,1.0,0.0,0.0,0.0,0.5899999737739563,4,92,24,24,0,42
user23,1.0,1.0,0.0,0.0,0.0,0.25,4,92,24,24,0,42
user24,0.6086956521739131,1.0,0.0,0.0,0.0,0.39500001072883606,4,92,24,24,0,42
user25,1.0,1.0,0.0,0.0,0.0,0.16500000655651093,4,92,24,24,0,42
user3,1.0,1.0,0.0,0.0,0.0,0.6100000143051147,4,92,24,24,0,42
user4,0.9130434782608695,1.0,0.0,0.0,0.0,0.5600000023841858,4,92,24,24,0,42
user5,1.0,1.0,0.0,0.0,0.0,0.39500001072883606,4,92,24,24,0,42
user6,1.0,1.0,0.0,0.0,0.0,0.38499999046325684,4,92,24,24,0,42
user7,1.0,1.0,0.0,0.0,0.0,0.26499998569488525,4,92,24,24,0,42
user8,1.0,1.0,0.0,0.0,0.0,0.5899999737739563,4,92,24,24,0,42
user9,1.0,1.0,0.0,0.0,0.0,0.6949999928474426,4,92,24,24,0,42
user1,1.0,1.0,0.0,0.0,0.0,0.41499999165534973,4,92,24,24,1,43
user10,1.0,1.0,0.0,0.0,0.0,0.4050000011920929,4,92,24,24,1,43
user12,1.0,1.0,0.0,0.0,0.0,0.2800000011920929,4,92,24,24,1,43
user13,1.0,0.782608695652174,0.24,0.17391304347750475,0.9999999999,0.041199999749660494,4,92,24,24,1,43
user14,1.0,1.0,0.0,0.0,0.0,0.3149999976158142,4,92,24,24,1,43
user15,1.0,1.0,0.0,0.0,0.0,0.17000000178813934,4,92,24,24,1,43
user16,1.0,1.0,0.0,0.0,0.0,0.44999998807907104,4,92,24,24,1,43
user17,1.0,1.0,0.0,0.0,0.0,0.8349999785423279,4,92,24,24,1,43
user18,1.0,1.0,0.0,0.0,0.0,0.4650000035762787,4,92,24,24,1,43
user19,1.0,1.0,0.0,0.0,0.0,0.574999988079071,4,92,24,24,1,43
user2,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.11086956443993942,4,92,24,24,1,43
user20,0.9130434782608696,1.0,0.0,0.0,0.0,0.47999998927116394,4,92,24,24,1,43
user21,1.0,1.0,0.0,0.0,0.0,0.6850000023841858,4,92,24,24,1,43
user22,1.0,1.0,0.0,0.0,0.0,0.5450000166893005,4,92,24,24,1,43
user23,1.0,1.0,0.0,0.0,0.0,0.3799999952316284,4,92,24,24,1,43
user24,0.9565217391304348,0.7391304347826086,0.28,0.21739130434688092,0.9999999999,0.012799999713897704,4,92,24,24,1,43
user25,1.0,1.0,0.0,0.0,0.0,0.23999999463558197,4,92,24,24,1,43
user3,1.0,1.0,0.0,0.0,0.0,0.5899999737739563,4,92,24,24,1,43
user4,1.0,1.0,0.0,0.0,0.0,0.23000000417232513,4,92,24,24,1,43
user5,0.9999999999999999,1.0,0.0,0.0,0.0,0.3799999952316284,4,92,24,24,1,43
user6,1.0,1.0,0.0,0.0,0.0,0.48500001430511475,4,92,24,24,1,43
user7,1.0,1.0,0.0,0.0,0.0,0.38999998569488525,4,92,24,24,1,43
user8,1.0,0.6086956521739131,0.4,0.3478260869550095,0.9999999999,0.011999999731779098,4,92,24,24,1,43
user9,1.0,1.0,0.0,0.0,0.0,0.625,4,92,24,24,1,43
user1,1.0,1.0,0.0,0.0,0.0,0.5049999952316284,4,92,24,24,2,44
user10,1.0,1.0,0.0,0.0,0.0,0.4099999964237213,4,92,24,24,2,44
user12,1.0,1.0,0.0,0.0,0.0,0.19499999284744263,4,92,24,24,2,44
user13,1.0,1.0,0.0,0.0,0.0,0.16500000655651093,4,92,24,24,2,44
user14,1.0,1.0,0.0,0.0,0.0,0.36000001430511475,4,92,24,24,2,44
user15,0.9130434782608695,1.0,0.0,0.0,0.0,0.12999999523162842,4,92,24,24,2,44
user16,0.4565217391304348,1.0,0.0,0.0,0.0,0.4350000023841858,4,92,24,24,2,44
user17,1.0,1.0,0.0,0.0,0.0,0.8899999856948853,4,92,24,24,2,44
user18,0.9565217391304348,1.0,0.0,0.0,0.0,0.6000000238418579,4,92,24,24,2,44
user19,1.0,1.0,0.0,0.0,0.0,0.47999998927116394,4,92,24,24,2,44
user2,0.6304347826086957,1.0,0.0,0.0,0.0,0.14499999582767487,4,92,24,24,2,44
user20,0.9130434782608696,1.0,0.0,0.0,0.0,0.375,4,92,24,24,2,44
