owner_id,auc_val,auc_test,eer_test,far_at_eer,frr_at_eer,thr,n_train_pos,n_train_neg,n_val,n_test,run,seed
user1,1.0,1.0,0.0,0.0,0.0,0.5833259224891663,4,92,24,24,0,42
user10,0.9565217391304348,1.0,0.0,0.0,0.0,0.4737914204597473,4,92,24,24,0,42
user12,1.0,1.0,0.0,0.0,0.0,0.35825788974761963,4,92,24,24,0,42
user13,0.9565217391304348,1.0,0.0,0.0,0.0,0.38301894068717957,4,92,24,24,0,42
user14,1.0,1.0,0.0,0.0,0.0,0.3931361436843872,4,92,24,24,0,42
user15,1.0,1.0,0.0,0.0,0.0,0.20316082239151,4,92,24,24,0,42
user16,0.8695652173913043,1.0,0.0,0.0,0.0,0.39990219473838806,4,92,24,24,0,42
user17,1.0,1.0,0.0,0.0,0.0,0.846808671951294,4,92,24,24,0,42
user18,1.0,1.0,0.0,0.0,0.0,0.5486737489700317,4,92,24,24,0,42
user19,0.9565217391304348,1.0,0.0,0.0,0.0,0.6510699391365051,4,92,24,24,0,42
user2,0.5652173913043479,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.1665748999170635,4,92,24,24,0,42
user20,0.9565217391304348,0.6956521739130435,0.30434782608695654,0.30434782608563327,0.9999999999,0.027415318009646042,4,92,24,24,0,42
user21,1.0,1.0,0.0,0.0,0.0,0.5240639448165894,4,92,24,24,0,42
user22,1.0,1.0,0.0,0.0,0.0,0.6528852581977844,4,92,24,24,0,42
user23,1.0,1.0,0.0,0.0,0.0,0.2831232249736786,4,92,24,24,0,42
user24,0.5652173913043479,1.0,0.0,0.0,0.0,0.4772607088088989,4,92,24,24,0,42
user25,0.9565217391304348,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.21375516057014465,4,92,24,24,0,42
user3,1.0,1.0,0.0,0.0,0.0,0.7103480696678162,4,92,24,24,0,42
user4,0.9130434782608695,1.0,0.0,0.0,0.0,0.6212738752365112,4,92,24,24,0,42
user5,1.0,1.0,0.0,0.0,0.0,0.4349316358566284,4,92,24,24,0,42
user6,1.0,1.0,0.0,0.0,0.0,0.4223780930042267,4,92,24,24,0,42
user7,1.0,1.0,0.0,0.0,0.0,0.30153945088386536,4,92,24,24,0,42
user8,1.0,1.0,0.0,0.0,0.0,0.6557702422142029,4,92,24,24,0,42
user9,1.0,1.0,0.0,0.0,0.0,0.7450271248817444,4,92,24,24,0,42
user1,1.0,1.0,0.0,0.0,0.0,0.43147408962249756,4,92,24,24,1,43
user10,1.0,1.0,0.0,0.0,0.0,0.5463122129440308,4,92,24,24,1,43
user12,1.0,1.0,0.0,0.0,0.0,0.35315433144569397,4,92,24,24,1,43
user13,1.0,0.7391304347826086,0.2608695652173913,0.2608695652162571,0.9999999999,0.09247055163849956,4,92,24,24,1,43
user14,1.0,1.0,0.0,0.0,0.0,0.3285427987575531,4,92,24,24,1,43
user15,0.9565217391304348,1.0,0.0,0.0,0.0,0.295384019613266,4,92,24,24,1,43
user16,1.0,1.0,0.0,0.0,0.0,0.4398737847805023,4,92,24,24,1,43
user17,1.0,1.0,0.0,0.0,0.0,0.8333044648170471,4,92,24,24,1,43
user18,1.0,1.0,0.0,0.0,0.0,0.5391541719436646,4,92,24,24,1,43
user19,1.0,1.0,0.0,0.0,0.0,0.6690603494644165,4,92,24,24,1,43
user2,1.0,0.8695652173913043,0.13043478260869565,0.13043478260812855,0.9999999999,0.1391584866720697,4,92,24,24,1,43
user20,0.9130434782608696,1.0,0.0,0.0,0.0,0.542383074760437,4,92,24,24,1,43
user21,1.0,1.0,0.0,0.0,0.0,0.7039721012115479,4,92,24,24,1,43
user22,1.0,1.0,0.0,0.0,0.0,0.6158044934272766,4,92,24,24,1,43
user23,1.0,1.0,0.0,0.0,0.0,0.3935515880584717,4,92,24,24,1,43
user24,0.9565217391304348,0.7391304347826088,0.2608695652173913,0.2608695652162571,0.9999999999,0.031225569870160973,4,92,24,24,1,43
user25,0.9565217391304348,1.0,0.0,0.0,0.0,0.2666510343551636,4,92,24,24,1,43
user3,1.0,1.0,0.0,0.0,0.0,0.6636066436767578,4,92,24,24,1,43
user4,1.0,0.9130434782608695,0.08695652173913043,0.08695652173875237,0.9999999999,0.28738586669382843,4,92,24,24,1,43
user5,1.0,1.0,0.0,0.0,0.0,0.4730684757232666,4,92,24,24,1,43
user6,1.0,1.0,0.0,0.0,0.0,0.5486592650413513,4,92,24,24,1,43
user7,1.0,1.0,0.0,0.0,0.0,0.42363810539245605,4,92,24,24,1,43
user8,1.0,0.6521739130434783,0.34782608695652173,0.3478260869550095,0.9999999999,0.03455700417575629,4,92,24,24,1,43
user9,1.0,1.0,0.0,0.0,0.0,0.6632350087165833,4,92,24,24,1,43
user1,1.0,1.0,0.0,0.0,0.0,0.5411085486412048,4,92,24,24,2,44
user10,1.0,1.0,0.0,0.0,0.0,0.5385650396347046,4,92,24,24,2,44
user12,1.0,1.0,0.0,0.0,0.0,0.27182769775390625,4,92,24,24,2,44
user13,1.0,1.0,0.0,0.0,0.0,0.23725977540016174,4,92,24,24,2,44
user14,1.0,1.0,0.0,0.0,0.0,0.42643266916275024,4,92,24,24,2,44
user15,0.782608695652174,1.0,0.0,0.0,0.0,0.22427397966384888,4,92,24,24,2,44
user16,0.17391304347826086,1.0,0.0,0.0,0.0,0.4522506892681122,4,92,24,24,2,44
user17,1.0,1.0,0.0,0.0,0.0,0.8655131459236145,4,92,24,24,2,44
user18,0.9130434782608696,1.0,0.0,0.0,0.0,0.6958752274513245,4,92,24,24,2,44
user19,1.0,1.0,0.0,0.0,0.0,0.6196624040603638,4,92,24,24,2,44
user2,0.6086956521739131,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.15061240157355432,4,92,24,24,2,44
user20,0.9130434782608696,1.0,0.0,0.0,0.0,0.41255226731300354,4,92,24,24,2,44
user21,1.0,1.0,0.0,0.0,0.0,0.6252248883247375,4,92,24,24,2,44
user22,1.0,1.0,0.0,0.0,0.0,0.5480168461799622,4,92,24,24,2,44
user23,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.18020396258520044,4,92,24,24,2,44
user24,1.0,0.5217391304347826,0.4782608695652174,0.478260869563138,0.9999999999,0.01372421767724597,4,92,24,24,2,44
user25,1.0,1.0,0.0,0.0,0.0,0.36923250555992126,4,92,24,24,2,44
user3,1.0,1.0,0.0,0.0,0.0,0.8052950501441956,4,92,24,24,2,44
